n,sex,age,color_1,color_2,color_3,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,f_hair
126,M,22,89.16565657,65.92525253,49.26464646,1.920304885,1.217959128,1.965165777,0.570173607,1.21194893,1.090040787,1.252138783,0.917604913,1.587797179,1.825991777,1.114490279,1.041975161,1.132578077,0.340740364,0.46694752,1
127,M,24,89.00839161,63.02937063,51.12867133,1.879453782,0.842654695,1.625721785,0.537436108,1.296679471,0.904769225,0.864536174,0.816805156,1.76487684,1.818022181,1.371055495,1.307854755,1.202942362,0.343573989,0.454223873,1
128,F,25,110.752451,88.88970588,78.71568627,6.673371096,1.454851752,2.178697446,0.781424281,1.777684872,0.789667897,0.607247796,0.834878154,1.857358409,1.650878322,1.216527331,1.116246168,0.464538609,0.83925112,0.460730098,0
129,M,32,68.73529412,43.67401961,31.20098039,1.627492948,1.106536705,1.767110755,0.630546998,1.535147824,0.879248966,0.826969827,0.880332027,1.535313351,1.546380445,1.127870091,1.076227209,0.991234305,0.375084885,0.449000798,1
130,M,17,116.8,97.07878788,72.98383838,1.779494069,1.283474853,1.800113279,0.605305077,1.418573106,0.94456256,0.914238216,1.338552687,1.535010197,1.424897119,1.258868796,1.213807277,0.582640813,0.3881851,0.43546247,1
131,M,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,F,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,M,20,79.33823529,55.3627451,40.12254902,6.428859215,1.266156963,2.036826031,0.651689405,1.428788549,0.956153748,0.883456509,0.780139332,1.70487138,1.585931421,1.197899432,1.114831212,0.799956418,2.919346783,0.456261505,1
134,M,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,F,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,F,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,F,22,72.19306931,58.53355336,53.91364136,1.644659349,1.05650443,1.986109389,0.587637378,1.254761967,1.166898567,1.085965484,0.711750819,2.122336789,2.069682567,1.158925622,1.156501489,1.080869255,0.350278711,0.487263891,0
138,M,21,95.91717172,95.92929293,93.56161616,2.040957293,0.986426837,1.820949876,0.576982868,1.308426782,0.664854791,0.510598353,0.266763697,1.612970506,1.314969383,1.313227997,1.200317141,0.463295554,0.348562314,0.42825331,1
139,F,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,M,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,M,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,M,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,M,23,87.12295082,81.8442623,76.44098361,2.018751407,1.43313201,1.841285786,0.61707822,1.432188157,0.75217942,0.589539287,0.710913383,1.972298043,1.643087558,1.384064584,1.343103108,0.658229915,0.374966986,0.458690745,1
144,M,19,113.0126984,90.38730159,84.15238095,2.017981336,1.50077649,2.156921333,0.721924304,1.58819718,0.761014781,0.650587566,0.743201967,1.792280838,1.589542321,1.233609282,1.17151773,0.367936118,0.391241804,0.456932274,1
145,M,23,120.3,90.8557377,73.70163934,2.029657135,1.387394485,1.912283074,0.697040895,1.670432804,0.641273966,0.397787234,0.557522124,1.720002827,1.376183049,1.154329547,1.025380181,0.536834007,0.406442656,0.445444491,1
146,M,25,87.33706294,62.27412587,54.06153846,9.110176472,1.382338339,1.840934158,0.669416011,1.623335343,1.09678078,1,0.966664322,2.411784783,2.157828984,2.037041379,1.645237042,0.249341065,0.951317819,0.478819848,1
147,F,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,M,27,81.30147059,71.34313725,66.18137255,1.900451499,1.284961465,2.101538834,0.761286075,1.761726143,0.651037321,0.581220749,0.835755642,1.819711075,1.393302335,1.250258039,1.206407645,0.500353857,0.398185697,0.440736728,1
149,F,28,123.4191176,109.6078431,92.6372549,1.823735346,1.001667111,1.635892964,0.586258081,1.472239133,1.249628663,1.707299091,1.388198229,1.201508488,1.63159741,1.265568688,1.181113155,1.110011312,0.389712345,0.421455377,0
150,M,22,90.97171717,62.9010101,48.27676768,2.213159901,1.375459734,2.085569536,0.728331454,1.655801864,1.255649268,2.248846407,5.669325153,1.803101074,1.976511802,1.080971435,1.234725018,1.381182647,0.378228199,0.486141655,0
151,F,25,77.53641026,59.61538462,51.15794872,1.333365608,1.625440521,2.163743972,0.775184058,1.766206749,0.484218164,0.174397536,0.647948164,2.252633465,1.444687676,1.268482771,1.115964573,0.342338539,0.431102847,0.463428532,0
152,M,31,105.2671569,75.07352941,54.87254902,7.00722977,1.2760706,1.791157103,0.589785172,1.370252649,1.019414259,0.903711394,1.000139743,2.046367944,1.772383073,1.102878629,1.142414861,0.898236701,1.311403509,0.484728271,1
153,F,23,112.3382353,89.03676471,70.90196078,1.712320932,1.47721416,2.477046179,0.774231152,1.580933588,0.915140479,0.8624815,1.108928718,1.778171226,1.636055503,1.243406831,1.223405787,1.060143934,0.408127679,0.457451457,0
154,F,29,97.97777778,70.48080808,57.56969697,6.174979793,1.204713231,1.89205653,0.605068864,1.35968153,0.783391222,0.570205479,0.704733667,2.055964081,1.663172468,1.290558903,1.292797881,0.985159319,2.948960772,0.465256564,0
155,F,23,82.04098361,60.56065574,45.46557377,1.154806071,1.078326499,1.971030829,0.629921827,1.395499669,0.679760286,0.647564729,0.969180514,1.814543241,1.475579891,1.331719489,1.194433946,0.292361111,0.385447818,0.445419208,0
156,M,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,F,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,F,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,M,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,M,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,M,15,93.16721311,65.53278689,48.90983607,1.179531048,1.138627362,2.276856076,0.727744758,1.539408307,0.537950536,0.281580008,0.153719599,1.807787431,1.327170963,1.187965308,1.125636672,0.794371051,0.397600483,0.443545785,0
162,M,23,113.7269841,92.01269841,70.92698413,9.898396893,1.085869309,1.926641488,0.601851432,1.329571702,0.973071566,1.018771998,0.870469548,1.538173142,1.618442246,1.263668283,1.173761879,1.141310332,0.627213805,0.447422978,1
163,M,21,118.0122549,94.39460784,84.85539216,1.798113391,0.906852431,1.667677923,0.539351144,1.275175922,0.785547058,0.587709896,0.770690325,1.667239277,1.365795091,1.196131387,1.170140606,0.322521532,0.370554375,0.43661124,1
164,F,20,96.22058824,67.89460784,62.45343137,1.551835562,1.223347185,1.625386655,0.55802928,1.372588657,0.793299984,0.514797136,0.734029591,2.089608794,1.700876061,1.295114544,1.217927603,0.700042851,0.384878916,0.472451993,0
165,F,20,145.1286275,106.0564706,88.62823529,1.403405294,1.682784964,2.308433555,0.758597835,1.619378428,0.718862429,0.458168719,0.755418893,2.075660619,1.623533471,1.247025265,1.281949721,0.899124179,0.422507512,0.465977426,0
166,M,26,163.2865961,120.3800705,105.2363316,6.574731919,1.22874818,1.817065211,0.681571333,1.690921395,0.911171662,0.695160031,0.693462063,2.057197609,1.695890635,1.276916993,1.235245459,1.064220183,1.640798509,0.466162841,1
167,M,20,124.3970588,124.8161765,130.2083333,2.24448892,1.175005064,1.707335171,0.649816436,1.663583664,1.132921938,1.114521058,0.851033869,1.585414288,1.663320743,1.205912827,1.181676281,0.695318127,0.370498528,0.45190822,1
168,M,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,M,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,F,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,M,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,M,23,166.4460784,146.7156863,113.2843137,2.166828173,1.285191408,1.816165951,0.685450488,1.707186633,1.177037289,1.30499762,1.695875187,1.381134615,1.477892845,1.242846411,1.293629825,1.834653465,0.388355629,0.427055338,1
174,M,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,F,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,M,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,M,18,137.4289216,137.3676471,137.8137255,1.651916142,1.160592121,1.933755608,0.687000713,1.616590559,0.735269298,0.581985924,0.286425726,1.809624413,1.561668063,1.372730071,1.128385664,0.159754948,0.406557908,0.45720782,1
178,M,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,F,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,M,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,F,24,97.46323529,88.75735294,88.56617647,1.632964684,1.346941498,1.88952739,0.67202124,1.594919073,0.754198239,0.370644139,1.236887608,1.855981735,1.507110778,1.030202124,1.044508377,0.602460457,0.414153257,0.466897233,0
182,M,24,128.9362745,127.3235294,131.2034314,1.874751286,1.266567479,1.828831533,0.626233215,1.473067306,1.006738208,0.980345769,1.508505155,1.570562101,1.541207183,1.068542687,1.013418327,1.184571139,0.39279822,0.453911734,1
183,M,18,121.2540984,96.72786885,80.32622951,1.600337786,1.257049385,1.937416422,0.744080941,1.831568415,0.970884446,1.041395517,1.371881035,1.524789445,1.525517067,1.220530482,1.235783377,0.71651446,0.413239302,0.436939768,0
184,F,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,M,21,93.94747475,75.97979798,65.08484848,7.315422089,1.205558821,1.473135165,0.478703822,1.190528902,0.827801694,0.771711847,0.811031495,1.975778216,1.687350103,1.272061784,1.278650247,0.92556813,0.804784501,0.461275914,1
186,F,14,90.59365079,81.08571429,72.94285714,8.854522804,1.188333999,2.549525228,0.740349265,1.452533333,0.723923241,0.563517395,0.962952948,2.003682251,1.665786405,1.205428298,1.24668116,1.157637655,0.677955508,0.471103188,0
187,M,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,F,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,M,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,F,21,91.30769231,63.81818182,48.45687646,1.094101851,1.185528882,1.661860204,0.5923813,1.474396737,0.714723432,0.438805469,0.210889828,1.876826991,1.465866908,1.405827006,1.127949004,0.41561364,0.40276623,0.445199746,0
191,M,20,101.5746032,79.57777778,61.72063492,1.498905558,1.161279393,1.738661143,0.595203882,1.425555461,0.925290537,0.943543083,1.220333648,1.789715863,1.666867075,1.326777836,1.319339874,0.920685279,0.385601026,0.449077548,1
192,M,28,90.27696078,59.7622549,36.70098039,1.549158493,1.118896988,1.503880131,0.505852609,1.269097566,0.712492896,0.535714286,0.109694269,1.97054174,1.595065695,1.264102833,1.168769356,1.016972592,0.355639809,0.464660982,1
193,M,26,109.2941176,76.17401961,47.36519608,1.744893717,1.382413359,1.854298829,0.634741005,1.485571632,0.426849251,0.135623074,0.017176471,1.932181768,1.241193757,1.181177753,1.086206321,0.354217133,0.369275985,0.440055377,1
194,F,24,142.8793651,128.1142857,107.9460317,1.489040138,1.147889341,2.250360058,0.805152979,1.810838822,1.105247847,1.151389369,1.555272442,1.522052368,1.57819761,1.223341255,1.312259372,2.047325103,0.447481893,0.443135858,0
195,M,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,M,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,F,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,F,21,148.7301587,144.1873016,134.1873016,1.560097065,0.998704398,1.834115512,0.566582259,1.266838219,0.724840113,0.532055457,0.420125105,1.704527198,1.479040392,1.227959651,1.167293807,1.065366448,0.347585129,0.445638144,0
199,M,20,111.2121212,97.54343434,85.24646465,2.261381805,1.153894298,1.720435483,0.530359589,1.212367255,0.859821539,0.86300781,1.28345627,1.812953584,1.656795878,1.396128765,1.627972137,1.260232221,0.33206804,0.44621466,1
200,M,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,F,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,M,18,104.4583333,96.15931373,87.80882353,6.997138837,1.148283138,1.941349821,0.663055062,1.525686369,1.032018703,1.074282224,1.213035506,1.646425868,1.775103401,1.273670848,1.311910818,1.058322581,1.776695171,0.460700037,0
203,F,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,M,28,90.8504902,67.32352941,59.20343137,7.748266826,1.495664916,2.273430113,0.758653971,1.639450666,0.319948062,0.071775762,0.354687255,2.247688703,1.473890636,1.224795512,1.103258078,0.262562189,1.146448073,0.470417171,1
205,M,38,91.15873016,81.00952381,81.7015873,1.604327723,1.223415889,1.863636364,0.677387112,1.635230002,1.099746474,1.353263663,1.456528418,1.505162473,1.660016544,1.128231056,1.067199903,1.216469428,0.387232739,0.450990841,1
206,M,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,M,21,88.06464646,66.41616162,61.41616162,7.703995019,1.379965948,1.834426947,0.656902291,1.581233604,0.800962906,0.834964522,1.3061778,1.810083486,1.679875186,1.241321163,1.277526113,1.052484405,0.800246059,0.449627021,1
208,M,23,98.99393939,71.36767677,56.67272727,1.826755853,1.452991453,1.852028506,0.671037918,1.620520342,0.896827076,0.862636621,0.898443983,1.698922212,1.733061871,1.262932043,1.181222863,1.060237849,0.409788209,0.462119447,0
209,F,22,94.53737374,71.98585859,58.97373737,1.458670764,1.560543761,2.062174765,0.725763486,1.66297207,0.508954468,0.04264417,0.138478831,2.13279887,1.503028331,1.212860406,1.018587611,0.409410561,0.41038941,0.471150886,0
210,M,29,87.07352941,57.50980392,41.82107843,1.826394367,1.007704676,1.587403327,0.575546892,1.471722559,0.844377248,0.675554281,0.931389843,1.715511459,1.45275665,1.214881103,1.228539334,1.10754495,0.377346213,0.444566061,1
211,M,19,131.3872549,112.0318627,100.3946078,1.725699516,1.131185397,1.793125781,0.612867013,1.450372328,0.908148785,0.781028699,0.932222047,1.728293612,1.43540102,1.145127148,1.191456495,0.987640126,0.366328866,0.445812629,1
212,F,21,95.54949495,85.74343434,82.57373737,6.152381731,1.085313241,1.760619741,0.649126125,1.612236337,1.59348515,4.856629393,8.930757652,1.247061091,1.758702031,1.072577029,1.049205604,1.532061238,1.623382199,0.439345311,0
213,F,25,143.3253193,106.0259204,84.08302029,1.391104121,0.869955431,1.768054032,0.559466618,1.281358559,0.62267024,0.205143722,0.149326584,2.039403621,1.680898334,1.149980188,1.062033416,1.056693489,0.348987964,0.469959433,0
214,M,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,F,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,M,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,F,22,143.4068627,137.2279412,122.1176471,1.622028959,0.882101338,1.872041017,0.636382178,1.479142673,0.821595821,0.783251705,0.841518746,1.758219771,1.742236645,1.368371212,1.267069447,0.727285985,0.383281009,0.450477665,0
218,F,19,102.1549296,77.17605634,66.0528169,6.647567366,1.248149643,1.89657717,0.610923187,1.376409343,0.513289103,0.201489533,0.155007226,2.631189301,1.481147745,1.455828813,1.272779406,0.444517725,1.544738184,0.461562553,0
219,M,21,167.1913725,140.6760784,132.2509804,2.603348416,0.9804933,1.727324439,0.621243119,1.531832704,0.981877085,1.078716402,0.796707563,1.597534146,1.685907511,1.155534941,1.149693326,1.075138357,0.363901885,0.458118494,1
220,M,22,90.67936508,67.7968254,54.53968254,1.65085406,1.223950017,1.879826311,0.641901098,1.493275726,1.148029674,1.680061038,1.472026463,1.998056013,2.019285909,1.159349072,1.096353521,0.922413793,0.387514296,0.492710818,0
221,F,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,F,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,F,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,M,26,109.5318627,82.51960784,63.875,2.26720184,1.161312279,1.861094831,0.582610132,1.30381133,1.236881559,1.08,1.055555556,1.535692756,1.756356849,1.529436101,1.403620479,0.800168812,0.355975386,0.425224799,1
225,M,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,M,25,80.33278689,55.20655738,40.09672131,1.869222085,0.951724542,1.792629707,0.568594279,1.297244538,0.818402139,0.753806263,0.65667468,1.493847511,1.379916976,1.36964608,1.250090362,0.83078425,0.342935576,0.419242981,1
227,M,24,100.0294118,100.0808824,100.7107843,1.535510662,0.980860948,1.640556069,0.601632899,1.529126935,0.691395648,0.623582067,0.510199637,1.755418663,1.446500223,1.395765219,1.232198142,0.66375687,0.368887184,0.439394086,1
228,M,23,121.2808081,92.53737374,74.96767677,1.680658652,1.465571303,2.059831299,0.752185808,1.760080767,1.151357565,1.51689612,1.248417071,1.736811678,2.040415318,1.263799058,1.218768969,0.840795241,0.410511296,0.472536262,1
229,F,21,123.5818182,95.34949495,79.93131313,1.187267048,1.067365269,2.138372748,0.645807206,1.35791942,1.222996761,1.497621172,1.935488547,1.500050666,1.76964275,1.27838701,1.226593382,0.82106414,0.373876201,0.442636494,0
230,F,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,M,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,M,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,M,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,F,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,F,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,F,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,M,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,M,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,F,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,F,24,74.91692308,58.95179487,53.37333333,1.523433989,1.266704178,1.743562,0.693881066,1.813604177,1.040006752,0.838687721,1.032262456,2.014257294,1.829057693,1.563586143,1.836799724,0.249604222,0.418930331,0.45539827,0
241,M,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,F,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,M,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,M,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,M,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,M,18,86.32352941,66.67892157,55.38235294,1.873608751,1.09672912,1.756197468,0.598289204,1.424122482,0.993491559,1.044274202,1.035280835,1.474476405,1.476187981,1.415496665,1.182832352,0.472404731,0.391888912,0.427267572,0
247,M,22,119.4383838,91.09494949,67.39191919,2.430548288,1.033257615,1.629966849,0.569505849,1.412387161,1.057961031,0.922591291,0.760904195,1.482185496,1.395484212,1.378333709,1.337938678,1.155099308,0.353198129,0.422752639,1
248,F,18,96.03174603,63.73333333,49.17142857,1.038157848,1.421849913,2.156317981,0.784998303,1.806802818,0.731051345,0.70348593,1.293309859,1.865636351,1.939071758,1.148415611,0.990639678,0.349702666,0.444573293,0.484229154,0
249,F,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,M,17,92.0952381,80.25714286,73.47301587,1.825004105,1.24024626,1.666258453,0.667263694,1.780887688,0.858630698,0.841780171,1.054763319,1.717387366,1.631159337,1.134631986,1.173627891,1.020557656,0.401986048,0.459874536,0
251,F,21,69.62937063,54.78461538,52.55104895,1.391355168,0.908167154,1.538926449,0.560967868,1.456356318,0.848527049,0.87142725,0.840295466,1.62554296,1.61345247,1.394242022,1.240041351,0.726224784,0.374550709,0.446303308,0
252,F,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,M,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,M,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,M,21,130.8970588,113.8088235,95.07352941,2.203399276,0.980658488,1.718887501,0.623310877,1.546867757,0.854748331,0.57994186,0.737111671,1.898935831,1.658240315,1.164439279,1.169828882,1.09501391,0.39966463,0.476619718,0
256,M,20,98.43921569,88.39764706,87.97019608,2.284237373,1.14578439,2.290790024,0.773202906,1.676640755,0.874852484,0.821497511,0.804168686,1.601402103,1.559718236,1.264872521,1.255489323,1.211807499,0.390507024,0.444464159,0
257,F,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,M,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,F,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,F,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,F,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,M,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,F,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,F,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,M,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,M,7,112.7493734,86.98897243,79.70426065,1.794395002,0.765388554,2.026381089,0.516881257,1.036290052,1.00814012,1.100262906,1.024488562,1.472641731,1.518787017,1.240747369,1.079942898,0.810449575,0.32810702,0.439474058,0
267,F,3,59.69400353,46.38888889,43.64462081,7.249436508,1.275375046,2.166004876,0.596371099,1.202900852,0.589014268,0.401162279,0.105860335,2.042571552,1.530592686,1.322105952,1.283220467,0.718016478,1.041411524,0.457033489,0
268,F,3,78.51408696,60.12278261,55.81252174,1.791998039,1.268599093,2.104069569,0.7420868,1.691276207,0.929947137,0.856007875,0.689299563,1.663042562,1.615092833,1.332112043,1.355167394,0.79473394,0.374821754,0.450947633,0
269,F,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,M,39,,,,,,,,,,,,,,,,,,,
